Date,Aluminium Price
2024-01-02,2191.3171
2024-01-03,2194.0466
2024-01-04,2196.7788
2024-01-05,2199.4463
2024-01-06,2202.021
2024-01-07,2204.5066
2024-01-08,2206.9238
2024-01-09,2209.2979
2024-01-10,2211.6482
2024-01-11,2213.9849
2024-01-12,2216.3071
2024-01-13,2218.6072
2024-01-14,2220.8718
2024-01-15,2223.0874
2024-01-16,2225.2407
2024-01-17,2227.3208
2024-01-18,2229.3196
2024-01-19,2231.2305
2024-01-20,2233.0488
2024-01-21,2234.7712
2024-01-22,2236.3943
2024-01-23,2237.915
2024-01-24,2239.331
2024-01-25,2240.6394
2024-01-26,2241.8386
2024-01-27,2242.9263
2024-01-28,2243.9011
2024-01-29,2244.7622
2024-01-30,2245.5095
2024-01-31,2246.143
2024-02-01,2246.6636
2024-02-02,2247.072
2024-02-03,2247.3699
2024-02-04,2247.5586
2024-02-05,2247.6401
2024-02-06,2247.616
2024-02-07,2247.4883
2024-02-08,2247.259
2024-02-09,2246.9304
2024-02-10,2246.505
2024-02-11,2245.9846
2024-02-12,2245.3723
2024-02-13,2244.6704
2024-02-14,2243.8816
2024-02-15,2243.0085
2024-02-16,2242.0532
2024-02-17,2241.0183
2024-02-18,2239.9062
2024-02-19,2238.7183
2024-02-20,2237.457
2024-02-21,2236.1243
2024-02-22,2234.722
2024-02-23,2233.2522
2024-02-24,2231.7168
2024-02-25,2230.1174
2024-02-26,2228.4553
2024-02-27,2226.7324
2024-02-28,2224.9495
2024-02-29,2223.1074
2024-03-01,2221.2078
2024-03-02,2219.2512
2024-03-03,2217.2383
2024-03-04,2215.17
2024-03-05,2213.047
2024-03-06,2210.8704
2024-03-07,2208.6404
2024-03-08,2206.3577
2024-03-09,2204.0225
2024-03-10,2201.6353
2024-03-11,2199.1963
2024-03-12,2196.7056
2024-03-13,2194.1636
2024-03-14,2191.5706
2024-03-15,2188.9265
2024-03-16,2186.2324
2024-03-17,2183.4885
2024-03-18,2180.695
2024-03-19,2177.8528
2024-03-20,2174.962
2024-03-21,2172.0237
2024-03-22,2169.0378
2024-03-23,2166.0059
2024-03-24,2162.9282
2024-03-25,2159.8064
2024-03-26,2156.6416
2024-03-27,2153.4353
2024-03-28,2150.1892
2024-03-29,2146.9053
2024-03-30,2143.586
2024-03-31,2140.2332
2024-04-01,2136.8494
2024-04-02,2133.4375
2024-04-03,2130.0007
2024-04-04,2126.5425
2024-04-05,2123.066
2024-04-06,2119.5757
2024-04-07,2116.0764
2024-04-08,2112.5725
2024-04-09,2109.0696
2024-04-10,2105.5728
2024-04-11,2102.088
2024-04-12,2098.6157
2024-04-13,2095.1667
2024-04-14,2091.748
2024-04-15,2088.3667
2024-04-16,2085.029
2024-04-17,2081.7427
2024-04-18,2078.515
2024-04-19,2075.3538
2024-04-20,2072.2666
2024-04-21,2069.2625
2024-04-22,2066.3494
2024-04-23,2063.5364
2024-04-24,2060.8323
2024-04-25,2058.2456
2024-04-26,2055.7856
2024-04-27,2053.461
2024-04-28,2051.2808
2024-04-29,2049.2537
2024-04-30,2047.3888
2024-05-01,2045.6947
2024-05-02,2044.1798
2024-05-03,2042.8527
2024-05-04,2041.7214
2024-05-05,2040.7941
2024-05-06,2040.0781
2024-05-07,2039.5812
2024-05-08,2039.3099
2024-05-09,2039.2712
2024-05-10,2039.4712
2024-05-11,2039.9156
2024-05-12,2040.61
2024-05-13,2041.5588
2024-05-14,2042.7666
2024-05-15,2044.237
2024-05-16,2045.9733
2024-05-17,2047.9779
2024-05-18,2050.2527
2024-05-19,2052.7986
2024-05-20,2055.6165
2024-05-21,2058.7058
2024-05-22,2062.0654
2024-05-23,2065.6934
2024-05-24,2069.5867
2024-05-25,2073.7417
2024-05-26,2078.1538
2024-05-27,2082.8171
2024-05-28,2087.7249
2024-05-29,2092.8694
2024-05-30,2098.2415
2024-05-31,2103.8313
2024-06-01,2109.6277
2024-06-02,2115.6184
2024-06-03,2121.79
2024-06-04,2128.128
2024-06-05,2134.6167
2024-06-06,2141.2397
2024-06-07,2147.9795
2024-06-08,2154.8176
2024-06-09,2161.7349
2024-06-10,2168.7117
2024-06-11,2175.7275
2024-06-12,2182.7617
2024-06-13,2189.7937
2024-06-14,2196.8025
2024-06-15,2203.7676
2024-06-16,2210.6685
2024-06-17,2217.4856
2024-06-18,2224.2
2024-06-19,2230.7935
2024-06-20,2237.2488
2024-06-21,2243.5505
2024-06-22,2249.684
2024-06-23,2255.636
2024-06-24,2261.395
2024-06-25,2266.9514
2024-06-26,2272.2961
2024-06-27,2277.4226
2024-06-28,2282.3257
2024-06-29,2287.0015
2024-06-30,2291.4478
2024-07-01,2295.6638
2024-07-02,2299.6497
2024-07-03,2303.4077
2024-07-04,2306.9402
2024-07-05,2310.251
2024-07-06,2313.3452
2024-07-07,2316.2278
2024-07-08,2318.9053
2024-07-09,2321.3845
2024-07-10,2323.6724
2024-07-11,2325.7769
2024-07-12,2327.7056
2024-07-13,2329.4668
2024-07-14,2331.0686
2024-07-15,2332.5193
2024-07-16,2333.8271
2024-07-17,2335.0002
2024-07-18,2336.0469
2024-07-19,2336.9746
2024-07-20,2337.7915
2024-07-21,2338.5046
2024-07-22,2339.1216
2024-07-23,2339.6492
2024-07-24,2340.094
2024-07-25,2340.4622
2024-07-26,2340.76
2024-07-27,2340.993
2024-07-28,2341.1665
2024-07-29,2341.2856
2024-07-30,2341.3547
2024-07-31,2341.3782
2024-08-01,2341.3606
2024-08-02,2341.305
2024-08-03,2341.215
2024-08-04,2341.094
2024-08-05,2340.9443
2024-08-06,2340.769
2024-08-07,2340.57
2024-08-08,2340.3499
2024-08-09,2340.1099
2024-08-10,2339.8518
2024-08-11,2339.5771
2024-08-12,2339.2874
2024-08-13,2338.9834
2024-08-14,2338.6658
2024-08-15,2338.3362
2024-08-16,2337.9944
2024-08-17,2337.6416
2024-08-18,2337.2776
2024-08-19,2336.9038
2024-08-20,2336.5195
2024-08-21,2336.1257
2024-08-22,2335.7222
2024-08-23,2335.3093
2024-08-24,2334.8875
2024-08-25,2334.4565
2024-08-26,2334.0166
2024-08-27,2333.5679
2024-08-28,2333.1106
2024-08-29,2332.6448
2024-08-30,2332.1707
2024-08-31,2331.6887
2024-09-01,2331.1987
2024-09-02,2330.7014
2024-09-03,2330.1965
2024-09-04,2329.6853
2024-09-05,2329.167
2024-09-06,2328.6426
2024-09-07,2328.1125
2024-09-08,2327.5774
2024-09-09,2327.0374
2024-09-10,2326.4934
2024-09-11,2325.9456
2024-09-12,2325.395
2024-09-13,2324.8418
2024-09-14,2324.2874
2024-09-15,2323.7317
2024-09-16,2323.1758
2024-09-17,2322.6204
2024-09-18,2322.0662
2024-09-19,2321.514
2024-09-20,2320.964
2024-09-21,2320.4182
2024-09-22,2319.8762
2024-09-23,2319.3394
2024-09-24,2318.808
2024-09-25,2318.2832
2024-09-26,2317.7659
2024-09-27,2317.2563
2024-09-28,2316.7551
2024-09-29,2316.2632
2024-09-30,2315.7812
2024-10-01,2315.3098
2024-10-02,2314.8494
2024-10-03,2314.401
2024-10-04,2313.9644
2024-10-05,2313.5403
2024-10-06,2313.1296
2024-10-07,2312.7327
2024-10-08,2312.3494
2024-10-09,2311.9807
2024-10-10,2311.6262
2024-10-11,2311.2869
2024-10-12,2310.9626
2024-10-13,2310.6538
2024-10-14,2310.3604
2024-10-15,2310.0828
2024-10-16,2309.8208
2024-10-17,2309.5747
2024-10-18,2309.3445
2024-10-19,2309.13
2024-10-20,2308.9314
2024-10-21,2308.7485
2024-10-22,2308.5815
2024-10-23,2308.43
2024-10-24,2308.2937
2024-10-25,2308.173
2024-10-26,2308.0674
2024-10-27,2307.9766
2024-10-28,2307.9006
2024-10-29,2307.8389
2024-10-30,2307.7917
2024-10-31,2307.7585
2024-11-01,2307.7388
2024-11-02,2307.733
2024-11-03,2307.7402
2024-11-04,2307.7603
2024-11-05,2307.7932
2024-11-06,2307.8386
2024-11-07,2307.896
2024-11-08,2307.9656
2024-11-09,2308.0464
2024-11-10,2308.139
2024-11-11,2308.2424
2024-11-12,2308.3567
2024-11-13,2308.4817
2024-11-14,2308.6172
2024-11-15,2308.763
2024-11-16,2308.9187
2024-11-17,2309.0842
2024-11-18,2309.2593
2024-11-19,2309.444
2024-11-20,2309.6382
2024-11-21,2309.841
2024-11-22,2310.0535
2024-11-23,2310.2747
2024-11-24,2310.5046
2024-11-25,2310.7437
2024-11-26,2310.9915
2024-11-27,2311.2476
2024-11-28,2311.5122
2024-11-29,2311.7856
2024-11-30,2312.0676
2024-12-01,2312.3582
2024-12-02,2312.6572
2024-12-03,2312.9648
2024-12-04,2313.281
2024-12-05,2313.6057
2024-12-06,2313.939
2024-12-07,2314.2812
2024-12-08,2314.6318
2024-12-09,2314.9917
2024-12-10,2315.36
2024-12-11,2315.7375
2024-12-12,2316.124
2024-12-13,2316.5198
2024-12-14,2316.9246
2024-12-15,2317.3389
2024-12-16,2317.7622
2024-12-17,2318.1956
2024-12-18,2318.6382
2024-12-19,2319.0908
2024-12-20,2319.5532
2024-12-21,2320.026
2024-12-22,2320.5085
